,Text,Predicted_label,Gold_label
487,"Oh, right, sure this is standing on the beach. This is waiting. This is fighting.",sad,ang
488,"Oh, be quiet.",ang,ang
489,"Well, I just-I paid so much money for this ticket. I feel like you guys should be able to get-to offer me more than a fifty dollar voucher.",hap,ang
490,You're the only one I know that still loves his parents.,hap,hap
491,Thank you,ang,neu
492,This is a big night for these little guys. It's like life's last orgy.,sad,neu
493,Go away! Go away! I- I hate you.,sad,ang
494,Depends on how well we've played.,hap,neu
495,For one thing your mother as much as told me to go.,hap,neu
496,"Oh right sure, of course.",ang,neu
497,"Right, well, last time they told me, it was this line, and obviously, it's not true.",hap,ang
498,flippancy brings out the acid in their damned sweetness in light.,hap,hap
499,"I know. I know. It's hard, but you just--you gotta keep going. I mean, you've been going at it for so long, you know. Something is definitely going to come up. I-I know it will, because you're a good worker--",sad,neu
500,"How ridiculous. How utterly, utterly ridiculous.",ang,hap
501,"It- It takes time to toss something like that off,I mean, because they weren't just men.",hap,sad
502,"But the pennies always get you because you end up spending like, you know, fifty bucks.",hap,neu
503,Then help me stay here.,hap,neu
504,"I know that Augie, I really do.",hap,sad
505,Oh. I'm sorry. Um- Did you drop it in water?,sad,neu
506,"I won't. Let go, let go of me. Listen, listen? I'm sick and tired of listening to you, you sadistic bully.",sad,ang
507,"Uh, well, yeah, I think we were just--you know, whenever best available, I guess. You know--",sad,neu
508,six four nine four,hap,neu
509,I guess this is why I came.,sad,hap
510,What the hell is this?,sad,ang
511,"It'll get better. I know it doesn't help, but it will get better and you will remember all of the good things that you guys had; all of the memories that you have with him that were happy and you'll be grateful for those.",sad,sad
512,Tell me something.,ang,neu
513,"You said, ""Hey the grunion are running tonight."" I said, ""Great, let's go. I feel lucky.""",sad,neu
514,I have no choice. There's nothing I can do.,hap,sad
515,you.. I can't believe it. I'm so happy for you. This is exactly what you wanted. It's your dream come true.,sad,hap
516,"I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.",hap,sad
517,"Hey, look what we got here.",sad,hap
518,"I'll get out. I'll get married and go live some place else, maybe New York.",hap,sad
519,I'll send you lots of letters.,hap,sad
520,"Although, I guess you can't tell it probably isn't them. Probably be unmistakable don't you think?",sad,hap
521,"Well sir, if if...what I believe has happened is most of the flight was left--",sad,neu
522,Well thank you so much. You've been very helpful. I really appreciate it.,sad,hap
523,What's the meaning of that?,hap,sad
524,He just...,sad,neu
525,Yes it is.,ang,neu
526,yeah,ang,sad
527,"What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home.",sad,ang
528,Is that--no--is that just foam? I can't even tell.,hap,hap
529,"Sir, please calm down. There's no reason to use profanity like that. It's not-",hap,neu
530,ahh one eight hundred three two three,hap,neu
531,Wait a minute. I've got it.,sad,neu
532,Like you need another one of those.[LAUGHTER],sad,hap
533,"Augie, I'm sorry.",sad,sad
534,I know. We should throw a party.,ang,hap
535,"Lost it just, like, I mean,",hap,ang
536,"Yes, it is.",ang,ang
537,Sometimes you infuriate me. You know that? Isn't it your business too if I tell this to father and he throws a fit about it.,hap,ang
538,"Ah, it send shivers up my spine.",ang,hap
539,It's only going to be a year.,hap,sad
540,I know. It's going out of style isn't it?,sad,hap
541,"Well, we're talking about one bag. You personally made it here, didn't you?",sad,neu
542,Okay.,ang,neu
543,What?,ang,ang
544,And now- and now it's really shitty timing but now I have to go.,hap,sad
545,I suppose you let him just kiss you or good deal more than too.,sad,ang
546,About four this morning. I heard it crack and I looked out the window and he was standing right there when it cracked.,sad,sad
547,"Yeah. Well. You know, because he's leaving the next day.",sad,hap
548,Yeah,ang,hap
549,"the top of the line camera phone, game boy, anything you want. For free. And palm pilot.",hap,neu
550,"Okay. You understand that's all I want. Just don't give me a problem with this. Okay, please because I'm very sensitive right now",hap,ang
551,How long ago was that?,hap,neu
552,Well Vegas was awesome.,ang,hap
553,"And I felt what you said, ashamed somehow 'cause nobody was changed at all. It seemed to make suckers out of a lot of guys. I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",sad,sad
